Date,Team,Opponent,Week,Location,Spread,Total (O/U),Money Line,MOV,ATS Margin,Combined,O/U Margin,Score Team,Score Opponent,Won
2019-09-05,Green Bay,Chicago,1,Away,3.0,46.5,148.0,7.0,10.0,13.0,-33.5,10,3,1
2019-09-05,Chicago,Green Bay,1,Home,-3.0,46.5,-164.0,-7.0,-10.0,13.0,-33.5,3,10,0
2019-09-08,LA Rams,Carolina,1,Away,-1.5,49.5,-125.0,3.0,1.5,57.0,7.5,30,27,1
2019-09-08,Carolina,LA Rams,1,Home,1.5,49.5,105.0,-3.0,-1.5,57.0,7.5,27,30,0
2019-09-08,Washington,Philadelphia,1,Away,10.0,44.0,395.0,-5.0,5.0,59.0,15.0,27,32,0
2019-09-08,Philadelphia,Washington,1,Home,-10.0,44.0,-491.0,5.0,-5.0,59.0,15.0,32,27,1
2019-09-08,Buffalo,NY Jets,1,Away,2.5,41.0,123.0,1.0,3.5,33.0,-8.0,17,16,1
2019-09-08,NY Jets,Buffalo,1,Home,-2.5,41.0,-143.0,-1.0,-3.5,33.0,-8.0,16,17,0
2019-09-08,Atlanta,Minnesota,1,Away,3.5,47.0,161.0,-16.0,-12.5,40.0,-7.0,12,28,0
2019-09-08,Minnesota,Atlanta,1,Home,-3.5,47.0,-179.0,16.0,12.5,40.0,-7.0,28,12,1
2019-09-08,Baltimore,Miami,1,Away,-7.0,41.0,-325.0,49.0,42.0,69.0,28.0,59,10,1
2019-09-08,Miami,Baltimore,1,Home,7.0,41.0,270.0,-49.0,-42.0,69.0,28.0,10,59,0
2019-09-08,Kansas City,Jacksonville,1,Away,-3.5,49.0,-190.0,14.0,10.5,66.0,17.0,40,26,1
2019-09-08,Jacksonville,Kansas City,1,Home,3.5,49.0,165.0,-14.0,-10.5,66.0,17.0,26,40,0
2019-09-08,Tennessee,Cleveland,1,Away,5.5,44.0,205.0,30.0,35.5,56.0,12.0,43,13,1
2019-09-08,Cleveland,Tennessee,1,Home,-5.5,44.0,-245.0,-30.0,-35.5,56.0,12.0,13,43,0
2019-09-08,Cincinnati,Seattle,1,Away,9.0,44.5,355.0,-1.0,8.0,41.0,-3.5,20,21,0
2019-09-08,Seattle,Cincinnati,1,Home,-9.0,44.5,-425.0,1.0,-8.0,41.0,-3.5,21,20,1
2019-09-08,Indianapolis,LA Chargers,1,Away,6.0,44.5,235.0,-6.0,0.0,54.0,9.5,24,30,0
2019-09-08,LA Chargers,Indianapolis,1,Home,-6.0,44.5,-265.0,6.0,0.0,54.0,9.5,30,24,1
2019-09-08,San Francisco,Tampa Bay,1,Away,1.0,51.0,-102.0,14.0,15.0,48.0,-3.0,31,17,1
2019-09-08,Tampa Bay,San Francisco,1,Home,-1.0,51.0,-118.0,-14.0,-15.0,48.0,-3.0,17,31,0
2019-09-08,NY Giants,Dallas,1,Away,7.0,44.0,271.0,-18.0,-11.0,52.0,8.0,17,35,0
2019-09-08,Dallas,NY Giants,1,Home,-7.0,44.0,-308.0,18.0,11.0,52.0,8.0,35,17,1
2019-09-08,Detroit,Arizona,1,Away,-3.0,45.5,-147.0,0.0,-3.0,54.0,8.5,27,27,0
2019-09-08,Arizona,Detroit,1,Home,3.0,45.5,133.0,0.0,3.0,54.0,8.5,27,27,0
2019-09-08,Pittsburgh,New England,1,Away,5.5,49.0,207.0,-30.0,-24.5,36.0,-13.0,3,33,0
2019-09-08,New England,Pittsburgh,1,Home,-5.5,49.0,-232.0,30.0,24.5,36.0,-13.0,33,3,1
2019-09-09,Houston,New Orleans,1,Away,6.5,52.0,273.0,-2.0,4.5,58.0,6.0,28,30,0
2019-09-09,New Orleans,Houston,1,Home,-6.5,52.0,-310.0,2.0,-4.5,58.0,6.0,30,28,1
2019-09-09,Denver,Oakland,1,Away,-3.0,42.5,-155.0,-8.0,-11.0,40.0,-2.5,16,24,0
2019-09-09,Oakland,Denver,1,Home,3.0,42.5,135.0,8.0,11.0,40.0,-2.5,24,16,1
2019-09-12,Tampa Bay,Carolina,2,Away,6.5,48.0,245.0,6.0,12.5,34.0,-14.0,20,14,1
2019-09-12,Carolina,Tampa Bay,2,Home,-6.5,48.0,-290.0,-6.0,-12.5,34.0,-14.0,14,20,0
2019-09-15,Arizona,Baltimore,2,Away,13.0,45.5,516.0,-6.0,7.0,40.0,-5.5,17,23,0
2019-09-15,Baltimore,Arizona,2,Home,-13.0,45.5,-658.0,6.0,-7.0,40.0,-5.5,23,17,1
2019-09-15,Dallas,Washington,2,Away,-6.0,46.5,-275.0,10.0,4.0,52.0,5.5,31,21,1
2019-09-15,Washington,Dallas,2,Home,6.0,46.5,230.0,-10.0,-4.0,52.0,5.5,21,31,0
2019-09-15,Indianapolis,Tennessee,2,Away,3.0,43.5,150.0,2.0,5.0,36.0,-7.5,19,17,1
2019-09-15,Tennessee,Indianapolis,2,Home,-3.0,43.5,-167.0,-2.0,-5.0,36.0,-7.5,17,19,0
2019-09-15,Seattle,Pittsburgh,2,Away,4.0,47.0,179.0,2.0,6.0,54.0,7.0,28,26,1
2019-09-15,Pittsburgh,Seattle,2,Home,-4.0,47.0,-201.0,-2.0,-6.0,54.0,7.0,26,28,0
2019-09-15,San Francisco,Cincinnati,2,Away,1.0,46.0,-105.0,24.0,25.0,58.0,12.0,41,17,1
2019-09-15,Cincinnati,San Francisco,2,Home,-1.0,46.0,-115.0,-24.0,-25.0,58.0,12.0,17,41,0
2019-09-15,LA Chargers,Detroit,2,Away,0.0,47.0,-120.0,-3.0,-3.0,23.0,-24.0,10,13,0
2019-09-15,Detroit,LA Chargers,2,Home,0.0,47.0,100.0,3.0,3.0,23.0,-24.0,13,10,1
2019-09-15,Minnesota,Green Bay,2,Away,3.0,43.0,146.0,-5.0,-2.0,37.0,-6.0,16,21,0
2019-09-15,Green Bay,Minnesota,2,Home,-3.0,43.0,-163.0,5.0,2.0,37.0,-6.0,21,16,1
2019-09-15,Jacksonville,Houston,2,Away,7.0,43.0,282.0,-1.0,6.0,25.0,-18.0,12,13,0
2019-09-15,Houston,Jacksonville,2,Home,-7.0,43.0,-344.0,1.0,-6.0,25.0,-18.0,13,12,1
2019-09-15,New England,Miami,2,Away,-18.0,48.5,-1400.0,43.0,25.0,43.0,-5.5,43,0,1
2019-09-15,Miami,New England,2,Home,18.0,48.5,925.0,-43.0,-25.0,43.0,-5.5,0,43,0
2019-09-15,Buffalo,NY Giants,2,Away,-1.0,44.5,-123.0,14.0,13.0,42.0,-2.5,28,14,1
2019-09-15,NY Giants,Buffalo,2,Home,1.0,44.5,103.0,-14.0,-13.0,42.0,-2.5,14,28,0
2019-09-15,Kansas City,Oakland,2,Away,-7.0,53.0,-300.0,18.0,11.0,38.0,-15.0,28,10,1
2019-09-15,Oakland,Kansas City,2,Home,7.0,53.0,250.0,-18.0,-11.0,38.0,-15.0,10,28,0
2019-09-15,New Orleans,LA Rams,2,Away,2.0,52.5,108.0,-18.0,-16.0,36.0,-16.5,9,27,0
2019-09-15,LA Rams,New Orleans,2,Home,-2.0,52.5,-128.0,18.0,16.0,36.0,-16.5,27,9,1
2019-09-15,Chicago,Denver,2,Away,-3.0,40.5,-145.0,2.0,-1.0,30.0,-10.5,16,14,1
2019-09-15,Denver,Chicago,2,Home,3.0,40.5,131.0,-2.0,1.0,30.0,-10.5,14,16,0
2019-09-15,Philadelphia,Atlanta,2,Away,-1.0,53.0,-115.0,-4.0,-5.0,44.0,-9.0,20,24,0
2019-09-15,Atlanta,Philadelphia,2,Home,1.0,53.0,104.0,4.0,5.0,44.0,-9.0,24,20,1
2019-09-16,Cleveland,NY Jets,2,Away,-6.5,45.0,-305.0,20.0,13.5,26.0,-19.0,23,3,1
2019-09-16,NY Jets,Cleveland,2,Home,6.5,45.0,255.0,-20.0,-13.5,26.0,-19.0,3,23,0
2019-09-19,Tennessee,Jacksonville,3,Away,-1.5,38.0,-132.0,-13.0,-14.5,27.0,-11.0,7,20,0
2019-09-19,Jacksonville,Tennessee,3,Home,1.5,38.0,112.0,13.0,14.5,27.0,-11.0,20,7,1
2019-09-22,Cincinnati,Buffalo,3,Away,6.0,43.5,224.0,-4.0,2.0,38.0,-5.5,17,21,0
2019-09-22,Buffalo,Cincinnati,3,Home,-6.0,43.5,-257.0,4.0,-2.0,38.0,-5.5,21,17,1
2019-09-22,Detroit,Philadelphia,3,Away,4.0,45.0,180.0,3.0,7.0,51.0,6.0,27,24,1
2019-09-22,Philadelphia,Detroit,3,Home,-4.0,45.0,-215.0,-3.0,-7.0,51.0,6.0,24,27,0
2019-09-22,NY Jets,New England,3,Away,20.5,43.0,1198.0,-16.0,4.5,44.0,1.0,14,30,0
2019-09-22,New England,NY Jets,3,Home,-20.5,43.0,-2600.0,16.0,-4.5,44.0,1.0,30,14,1
2019-09-22,Oakland,Minnesota,3,Away,9.0,43.5,337.0,-20.0,-11.0,48.0,4.5,14,34,0
2019-09-22,Minnesota,Oakland,3,Home,-9.0,43.5,-406.0,20.0,11.0,48.0,4.5,34,14,1
2019-09-22,Baltimore,Kansas City,3,Away,5.0,52.0,195.0,-5.0,0.0,61.0,9.0,28,33,0
2019-09-22,Kansas City,Baltimore,3,Home,-5.0,52.0,-225.0,5.0,0.0,61.0,9.0,33,28,1
2019-09-22,Atlanta,Indianapolis,3,Away,1.5,48.0,103.0,-3.0,-1.5,51.0,3.0,24,27,0
2019-09-22,Indianapolis,Atlanta,3,Home,-1.5,48.0,-123.0,3.0,1.5,51.0,3.0,27,24,1
2019-09-22,Miami,Dallas,3,Away,21.5,46.5,1375.0,-25.0,-3.5,37.0,-9.5,6,31,0
2019-09-22,Dallas,Miami,3,Home,-21.5,46.5,-3500.0,25.0,3.5,37.0,-9.5,31,6,1
2019-09-22,Denver,Green Bay,3,Away,7.0,41.5,300.0,-11.0,-4.0,43.0,1.5,16,27,0
2019-09-22,Green Bay,Denver,3,Home,-7.0,41.5,-360.0,11.0,4.0,43.0,1.5,27,16,1
2019-09-22,NY Giants,Tampa Bay,3,Away,5.0,48.0,202.0,1.0,6.0,63.0,15.0,32,31,1
2019-09-22,Tampa Bay,NY Giants,3,Home,-5.0,48.0,-230.0,-1.0,-6.0,63.0,15.0,31,32,0
2019-09-22,Carolina,Arizona,3,Away,2.5,46.0,115.0,18.0,20.5,58.0,12.0,38,20,1
2019-09-22,Arizona,Carolina,3,Home,-2.5,46.0,-135.0,-18.0,-20.5,58.0,12.0,20,38,0
2019-09-22,Houston,LA Chargers,3,Away,3.0,49.0,146.0,7.0,10.0,47.0,-2.0,27,20,1
2019-09-22,LA Chargers,Houston,3,Home,-3.0,49.0,-162.0,-7.0,-10.0,47.0,-2.0,20,27,0
2019-09-22,Pittsburgh,San Francisco,3,Away,6.0,44.5,238.0,-4.0,2.0,44.0,-0.5,20,24,0
2019-09-22,San Francisco,Pittsburgh,3,Home,-6.0,44.5,-275.0,4.0,-2.0,44.0,-0.5,24,20,1
2019-09-22,New Orleans,Seattle,3,Away,5.0,44.0,202.0,6.0,11.0,60.0,16.0,33,27,1
2019-09-22,Seattle,New Orleans,3,Home,-5.0,44.0,-242.0,-6.0,-11.0,60.0,16.0,27,33,0
2019-09-22,LA Rams,Cleveland,3,Away,-4.0,48.0,-210.0,7.0,3.0,33.0,-15.0,20,13,1
